"","qtdInstancias","image","nthreads","imsize","time_elapsed","per_stddev","val_stddev"
"1",1,"full",8,8192,5.144716609,0.031,0.159486214879
"2",1,"elephant",8,8192,14.979206036,0.0049,0.0733981095764
"3",1,"seahorse",8,8192,15.648717387,0.0043,0.0672894847641
"4",1,"triple_spiral",8,8192,17.090048034,0.0026,0.0444341248884
"5",2,"full",4,8192,7.113267172,0.0263,0.1870789266236
"6",2,"elephant",4,8192,26.762062591,0.0145,0.3880499075695
"7",2,"seahorse",4,8192,23.757249515,0.0063,0.1496706719445
"8",2,"triple_spiral",4,8192,28.622931053,0.0056,0.1602884138968
"9",4,"full",2,8192,7.577478577,0.0051,0.0386451407427
"10",4,"elephant",2,8192,26.920922066,0.0097,0.2611329440402
"11",4,"seahorse",2,8192,27.329481829,0.0109,0.2978913519361
"12",4,"triple_spiral",2,8192,29.066565063,0.0027,0.0784797256701
"13",8,"full",1,8192,5.997345998,0.0108,0.0647713367784
"14",8,"elephant",1,8192,14.362492784,0.0046,0.0660674668064
"15",8,"seahorse",1,8192,15.207847473,0.0057,0.0866847305961
"16",8,"triple_spiral",1,8192,15.878187424,0.0068,0.1079716744832
